order_id,customer,amount,date
EVAL-0001,Customer 1,850,2026-08-20
EVAL-0002,Customer 2,900,2026-08-20
EVAL-0003,Customer 3,950,2026-08-20
EVAL-0004,Customer 4,1000,2026-08-20
EVAL-0005,Customer 5,1050,2026-08-20
EVAL-0006,Customer 6,1100,2026-08-20
EVAL-0007,Customer 7,1150,2026-08-20
EVAL-0008,Customer 8,1200,2026-08-20
EVAL-0009,Customer 9,1250,2026-08-20
EVAL-0010,Customer 10,1300,2026-08-20
EVAL-0011,Customer 11,1350,2026-08-20
EVAL-0012,Customer 12,1400,2026-08-20
EVAL-0013,Customer 13,1450,2026-08-20
EVAL-0014,Customer 14,1500,2026-08-20
EVAL-0015,Customer 15,1550,2026-08-20
EVAL-0016,Customer 16,1600,2026-08-20
EVAL-0017,Customer 17,1650,2026-08-20
EVAL-0018,Customer 18,1700,2026-08-20
EVAL-0019,Customer 19,1750,2026-08-20
EVAL-0020,Customer 20,1800,2026-08-20
EVAL-0021,Customer 21,1850,2026-08-20
EVAL-0022,Customer 22,1900,2026-08-20
EVAL-0023,Customer 23,1950,2026-08-20
EVAL-0024,Customer 24,2000,2026-08-20
EVAL-0025,Customer 25,2050,2026-08-20
EVAL-0026,Customer 26,2100,2026-08-20
EVAL-0027,Customer 27,2150,2026-08-20
EVAL-0028,Customer 28,2200,2026-08-20
EVAL-0029,Customer 29,2250,2026-08-20
EVAL-0030,Customer 30,2300,2026-08-20
EVAL-0031,Customer 31,2350,2026-08-20
EVAL-0032,Customer 32,2400,2026-08-20
EVAL-0033,Customer 33,2450,2026-08-20
EVAL-0034,Customer 34,2500,2026-08-20
EVAL-0035,Customer 35,2550,2026-08-20
EVAL-0036,Customer 36,2600,2026-08-20
EVAL-0037,Customer 37,2650,2026-08-20
EVAL-0038,Customer 38,2700,2026-08-20
EVAL-0039,Customer 39,2750,2026-08-20
EVAL-0040,Customer 40,2800,2026-08-20
EVAL-0041,Customer 41,1100,2026-08-21
EVAL-0042,Customer 42,1200,2026-08-21
EVAL-0043,Customer 43,1300,2026-08-21
EVAL-0044,Customer 44,1400,2026-08-21
EVAL-0045,Customer 45,1500,2026-08-21
EVAL-0046,Customer 46,1600,2026-08-21
EVAL-0047,Customer 47,1700,2026-08-21
EVAL-0048,Customer 48,1800,2026-08-21
EVAL-0049,Customer 49,1900,2026-08-21
EVAL-0050,Customer 50,2000,2026-08-21
EVAL-0051,Customer 51,2100,2026-08-21
EVAL-0052,Customer 52,2200,2026-08-21
EVAL-0053,Customer 53,2300,2026-08-21
EVAL-0054,Customer 54,2400,2026-08-21
EVAL-0055,Customer 55,2500,2026-08-21
EVAL-0056,Customer 56,2400,2026-08-20
EVAL-0057,Customer 57,2400,2026-08-20
EVAL-0058,Customer 58,2400,2026-08-20
EVAL-0059,Customer 59,2400,2026-08-20
EVAL-0060,Customer 60,2400,2026-08-20
EVAL-0061,Customer 61,2400,2026-08-20
EVAL-0062,Customer 62,2400,2026-08-20
EVAL-0063,Customer 63,2400,2026-08-20
EVAL-0064,Customer 64,2400,2026-08-20
EVAL-0065,Customer 65,2400,2026-08-20
EVAL-0066,Customer 66,2200,2026-08-20
EVAL-0067,Customer 67,2200,2026-08-20
EVAL-0068,Customer 68,2200,2026-08-20
EVAL-0069,Customer 69,2200,2026-08-20
EVAL-0070,Customer 70,2200,2026-08-20
EVAL-0071,Customer 71,2200,2026-08-20
EVAL-0072,Customer 72,2200,2026-08-20
EVAL-0073,Customer 73,2200,2026-08-20
EVAL-0074,Customer 74,500,2026-08-20
EVAL-0075,Customer 75,500,2026-08-20
EVAL-0076,Customer 76,500,2026-08-20
EVAL-0077,Customer 77,500,2026-08-20
EVAL-0078,Customer 78,500,2026-08-20
EVAL-0079,Customer 79,500,2026-08-20
EVAL-0080,Customer 80,1500,2026-08-20
EVAL-0081,Customer 81,1500,2026-08-20
EVAL-0082,Customer 82,1500,2026-08-20
EVAL-0083,Customer 83,1500,2026-08-20
EVAL-0084,Customer 84,1500,2026-08-20
EVAL-0085,Customer 85,1800,2026-08-20
EVAL-0086,Customer 86,1800,2026-08-20
EVAL-0087,Customer 87,1800,2026-08-20
EVAL-0088,Customer 88,1800,2026-08-20
EVAL-0089,Customer 89,1500,2026-08-20
EVAL-0090,Customer 90,1500,2026-08-20
EVAL-0091,Customer 91,1500,2026-08-20
EVAL-0092,Customer 92,1500,2026-08-20
EVAL-0093,Customer 93,900,2026-08-20
EVAL-0094,Customer 94,900,2026-08-20
EVAL-0095,Customer 95,900,2026-08-20
EVAL-0096,Customer 96,900,2026-08-20
EVAL-0097,Customer 97,900,2026-08-20
EVAL-0098,Customer 98,900,2026-08-20
EVAL-0099,Customer 99,900,2026-08-20
EVAL-0100,Customer 100,900,2026-08-20
